Time (s)	 Pressure (bar)	 Rate (m3/D)
0.0	179.9986631000000	5000.000000
5.0	177.4037796884757	5000.000000
10.0	177.4296064889365	5000.000000
15.0	177.3976340595781	5000.000000
20.0	177.3867461577663	5000.000000
25.0	177.3845769088315	5000.000000
30.0	177.3814292793439	5000.000000
35.0	177.3793656945269	5000.000000
40.0	177.3779581049614	5000.000000
45.0	177.3772443816404	5000.000000
50.0	177.3768572985889	5000.000000
55.0	177.3751333509815	5000.000000
60.0	177.3745043952850	5000.000000
65.0	177.3740945983883	5000.000000
70.0	177.3723767363019	5000.000000
75.0	177.3717461506693	5000.000000
80.0	177.3713367906308	5000.000000
85.0	177.3696188121146	5000.000000
90.0	177.3689882569136	5000.000000
95.0	177.3685788903453	5000.000000
100.0	177.3668609086818	5000.000000
105.0	177.3662303727278	5000.000000
110.0	177.3658209309170	5000.000000
115.0	177.3641032287445	5000.000000
120.0	177.3634716483703	5000.000000
125.0	177.3630661073838	5000.000000
130.0	177.3613338474032	5000.000000
135.0	177.3607565990008	5000.000000
140.0	177.3601482867285	5000.000000
145.0	177.3592867523634	5000.000000
150.0	177.3589392605056	5000.000000
155.0	177.3572049964868	5000.000000
160.0	177.3565777622904	5000.000000
165.0	177.3561711102777	5000.000000
170.0	177.3544391841591	5000.000000
175.0	177.3538617594319	5000.000000
180.0	177.3532535343242	5000.000000
185.0	177.3523920721291	5000.000000
190.0	177.3520445074344	5000.000000
195.0	177.3503102256683	5000.000000
200.0	177.3496830882642	5000.000000
205.0	177.3492763514026	5000.000000
210.0	177.3475444303800	5000.000000
215.0	177.3469670218767	5000.000000
220.0	177.3463590119120	5000.000000
225.0	177.3454964277663	5000.000000
230.0	177.3451528333734	5000.000000
235.0	177.3434040285282	5000.000000
240.0	177.3428310612558	5000.000000
245.0	177.3422218750226	5000.000000
250.0	177.3413595364167	5000.000000
255.0	177.3410161350861	5000.000000
260.0	177.3392663108014	5000.000000
265.0	177.3386972280534	5000.000000
270.0	177.3380735331976	5000.000000
275.0	177.3372656080087	5000.000000
280.0	177.3367193650635	5000.000000
285.0	177.3358402305115	5000.000000
290.0	177.3355010696332	5000.000000
295.0	177.3337510788286	5000.000000
300.0	177.3331784202475	5000.000000
305.0	177.3325691960560	5000.000000
310.0	177.3317069633993	5000.000000
315.0	177.3313634802851	5000.000000
320.0	177.3296136418839	5000.000000
325.0	177.3290446493741	5000.000000
330.0	177.3284208910929	5000.000000
335.0	177.3276128854747	5000.000000
340.0	177.3270667233491	5000.000000
345.0	177.3261875881017	5000.000000
350.0	177.3258486538457	5000.000000
355.0	177.3240975218266	5000.000000
360.0	177.3235291548445	5000.000000
365.0	177.3229041889323	5000.000000
370.0	177.3221003876988	5000.000000
375.0	177.3215386169825	5000.000000
380.0	177.3207177146652	5000.000000
385.0	177.3201614544504	5000.000000
390.0	177.3193353634287	5000.000000
395.0	177.3187940477011	5000.000000
400.0	177.3179136136397	5000.000000
405.0	177.3175750276778	5000.000000
410.0	177.3158238020729	5000.000000
415.0	177.3152554612253	5000.000000
420.0	177.3146304834993	5000.000000
425.0	177.3138267039959	5000.000000
430.0	177.3132648568391	5000.000000
435.0	177.3124442356134	5000.000000
440.0	177.3118869303315	5000.000000
445.0	177.3110647398541	5000.000000
450.0	177.3105088664565	5000.000000
455.0	177.3096827631745	5000.000000
460.0	177.3091414111407	5000.000000
465.0	177.3082608910370	5000.000000
470.0	177.3079223814540	5000.000000
475.0	177.3061711710185	5000.000000
480.0	177.3056027396665	5000.000000
485.0	177.3049778261919	5000.000000
490.0	177.3041741234306	5000.000000
495.0	177.3036122100469	5000.000000
500.0	177.3027915341627	5000.000000
505.0	177.3022342098435	5000.000000
510.0	177.3014123963048	5000.000000
515.0	177.3008553355297	5000.000000
520.0	177.3000333593486	5000.000000
525.0	177.2994763828654	5000.000000
530.0	177.2986544765633	5000.000000
535.0	177.2980974406737	5000.000000
540.0	177.2972754580292	5000.000000
545.0	177.2967184835823	5000.000000
550.0	177.2958965769897	5000.000000
555.0	177.2953395389240	5000.000000
560.0	177.2945175665353	5000.000000
565.0	177.2939605430072	5000.000000
570.0	177.2931385573312	5000.000000
575.0	177.2925815835360	5000.000000
580.0	177.2917596763916	5000.000000
585.0	177.2912026408579	5000.000000
590.0	177.2903806579575	5000.000000
595.0	177.2898236838529	5000.000000
600.0	177.2890017764724	5000.000000
605.0	177.2884447408497	5000.000000
610.0	177.2876227579009	5000.000000
615.0	177.2870657833358	5000.000000
620.0	177.2862438761292	5000.000000
625.0	177.2856868419395	5000.000000
630.0	177.2848648533999	5000.000000
635.0	177.2843079008336	5000.000000
640.0	177.2834859126136	5000.000000
645.0	177.2829291791769	5000.000000
650.0	177.2821060699003	5000.000000
655.0	177.2815532975650	5000.000000
660.0	177.2807157068104	5000.000000
665.0	177.2802172048112	5000.000000
670.0	177.2791767707609	5000.000000
675.0	177.2795490397696	5000.000000
680.0	177.2787384987923	5000.000000
685.0	177.2779845344008	5000.000000
690.0	177.2774092940716	5000.000000
695.0	177.2765921885331	5000.000000
700.0	177.2760339081298	5000.000000
705.0	177.2752123459156	5000.000000
710.0	177.2746552378317	5000.000000
715.0	177.2738331995512	5000.000000
720.0	177.2732765201682	5000.000000
725.0	177.2724534886304	5000.000000
730.0	177.2719006556065	5000.000000
735.0	177.2710629877136	5000.000000
740.0	177.2705645503506	5000.000000
745.0	177.2695241794739	5000.000000
750.0	177.2698964411610	5000.000000
755.0	177.2690858760597	5000.000000
760.0	177.2683317513853	5000.000000
765.0	177.2677568746057	5000.000000
770.0	177.2669387190458	5000.000000
775.0	177.2663845795075	5000.000000
780.0	177.2655472616941	5000.000000
785.0	177.2650487305277	5000.000000
790.0	177.2640083847854	5000.000000
795.0	177.2643806397382	5000.000000
800.0	177.2635700764395	5000.000000
805.0	177.2628159512890	5000.000000
810.0	177.2622410746111	5000.000000
815.0	177.2614229191203	5000.000000
820.0	177.2608687792044	5000.000000
825.0	177.2600314628320	5000.000000
830.0	177.2595329262790	5000.000000
835.0	177.2584926006423	5000.000000
840.0	177.2588647805594	5000.000000
845.0	177.2580544972978	5000.000000
850.0	177.2572993270348	5000.000000
855.0	177.2567283507696	5000.000000
860.0	177.2558956387421	5000.000000
865.0	177.2553958245530	5000.000000
870.0	177.2543557618367	5000.000000
875.0	177.2547278560862	5000.000000
880.0	177.2539176411373	5000.000000
885.0	177.2531625461707	5000.000000
890.0	177.2525915038054	5000.000000
895.0	177.2517587354022	5000.000000
900.0	177.2512589107846	5000.000000
905.0	177.2502191903362	5000.000000
910.0	177.2505902377270	5000.000000
915.0	177.2497838792470	5000.000000
920.0	177.2490141445030	5000.000000
925.0	177.2484974990882	5000.000000
930.0	177.2474620261270	5000.000000
935.0	177.2478329058388	5000.000000
940.0	177.2470229707584	5000.000000
945.0	177.2462677084068	5000.000000
950.0	177.2456967519890	5000.000000
955.0	177.2448640529860	5000.000000
960.0	177.2443641665262	5000.000000
965.0	177.2433243802238	5000.000000
970.0	177.2436954416234	5000.000000
975.0	177.2428890735278	5000.000000
980.0	177.2421193605586	5000.000000
985.0	177.2416026402704	5000.000000
990.0	177.2405674467426	5000.000000
995.0	177.2409372825103	5000.000000
1000.0	177.2401312436445	5000.000000
1005.0	177.2393614416733	5000.000000
1010.0	177.2388447464763	5000.000000
1015.0	177.2378095410277	5000.000000
1020.0	177.2381793988235	5000.000000
1025.0	177.2373732838554	5000.000000
1030.0	177.2366037625416	5000.000000
1035.0	177.2360860221790	5000.000000
1040.0	177.2350547176183	5000.000000
1045.0	177.2354100172059	5000.000000
1050.0	177.2346582340439	5000.000000
1055.0	177.2336859459236	5000.000000
1060.0	177.2340389112477	5000.000000
1065.0	177.2332374375845	5000.000000
1070.0	177.2324665057810	5000.000000
1075.0	177.2319500690796	5000.000000
1080.0	177.2309147152098	5000.000000
1085.0	177.2312845978114	5000.000000
1090.0	177.2304785222385	5000.000000
1095.0	177.2297090830695	5000.000000
1100.0	177.2291912760538	5000.000000
1105.0	177.2281599102529	5000.000000
1110.0	177.2285152103259	5000.000000
1115.0	177.2277634768805	5000.000000
1120.0	177.2267912500333	5000.000000
1125.0	177.2271442326340	5000.000000
1130.0	177.2263426397958	5000.000000
1135.0	177.2255719064508	5000.000000
1140.0	177.2250544911064	5000.000000
1145.0	177.2240230995091	5000.000000
1150.0	177.2243784219023	5000.000000
1155.0	177.2236266331198	5000.000000
1160.0	177.2226543419329	5000.000000
1165.0	177.2230073266699	5000.000000
1170.0	177.2222057799552	5000.000000
1175.0	177.2214351223572	5000.000000
1180.0	177.2209176609090	5000.000000
1185.0	177.2198861327969	5000.000000
1190.0	177.2202417358963	5000.000000
1195.0	177.2194889510046	5000.000000
1200.0	177.2185206269168	5000.000000
1205.0	177.2188590507666	5000.000000
1210.0	177.2181117902506	5000.000000
1215.0	177.2171382855326	5000.000000
1220.0	177.2174915953510	5000.000000
1225.0	177.2166899617569	5000.000000
1230.0	177.2159193274565	5000.000000
1235.0	177.2154018589874	5000.000000
1240.0	177.2143703341310	5000.000000
1245.0	177.2147259318796	5000.000000
1250.0	177.2139731667877	5000.000000
1255.0	177.2130047688507	5000.000000
1260.0	177.2133434674590	5000.000000
1265.0	177.2125951816731	5000.000000
1270.0	177.2116255041373	5000.000000
1275.0	177.2119645297221	5000.000000
1280.0	177.2112162057330	5000.000000
1285.0	177.2102466161580	5000.000000
1290.0	177.2105856390871	5000.000000
1295.0	177.2098372476649	5000.000000
1300.0	177.2088676670611	5000.000000
1305.0	177.2092064117190	5000.000000
1310.0	177.2084591146878	5000.000000
1315.0	177.2074856988922	5000.000000
1320.0	177.2078389997075	5000.000000
1325.0	177.2070373227939	5000.000000
1330.0	177.2062666070880	5000.000000
1335.0	177.2057492046794	5000.000000
1340.0	177.2047177415894	5000.000000
1345.0	177.2050733385048	5000.000000
1350.0	177.2043205246887	5000.000000
1355.0	177.2033520605353	5000.000000
1360.0	177.2036907610091	5000.000000
1365.0	177.2029425241790	5000.000000
1370.0	177.2019729126519	5000.000000
1375.0	177.2023119362049	5000.000000
1380.0	177.2015635627558	5000.000000
1385.0	177.2005939090858	5000.000000
1390.0	177.2009329284235	5000.000000
1395.0	177.2001846057824	5000.000000
1400.0	177.1992150173154	5000.000000
1405.0	177.1995540348161	5000.000000
1410.0	177.1988056639055	5000.000000
1415.0	177.1978360088654	5000.000000
1420.0	177.1981750296032	5000.000000
1425.0	177.1974267012147	5000.000000
1430.0	177.1964571329256	5000.000000
1435.0	177.1967960766268	5000.000000
1440.0	177.1960479808641	5000.000000
1445.0	177.1950772977122	5000.000000
1450.0	177.1954201561257	5000.000000
1455.0	177.1946574982718	5000.000000
1460.0	177.1937411500677	5000.000000
1465.0	177.1938812301953	5000.000000
1470.0	177.1939893292495	5000.000000
1475.0	177.1933028812357	5000.000000
1480.0	177.1923167136908	5000.000000
1485.0	177.1926601736500	5000.000000
1490.0	177.1919106120689	5000.000000
1495.0	177.1909412763629	5000.000000
1500.0	177.1912802104238	5000.000000
1505.0	177.1905319107005	5000.000000
1510.0	177.1895623155860	5000.000000
1515.0	177.1899013364075	5000.000000
1520.0	177.1891529589552	5000.000000
1525.0	177.1881833245795	5000.000000
1530.0	177.1885222703550	5000.000000
1535.0	177.1877742226255	5000.000000
1540.0	177.1868036085051	5000.000000
1545.0	177.1871464533191	5000.000000
1550.0	177.1863837987181	5000.000000
1555.0	177.1854674496093	5000.000000
1560.0	177.1856075302987	5000.000000
1565.0	177.1857156291856	5000.000000
1570.0	177.1850291814510	5000.000000
1575.0	177.1840430133872	5000.000000
1580.0	177.1843864747545	5000.000000
1585.0	177.1836369080174	5000.000000
1590.0	177.1826675919582	5000.000000
1595.0	177.1830064521449	5000.000000
1600.0	177.1822584268638	5000.000000
1605.0	177.1812878072346	5000.000000
1610.0	177.1816306536360	5000.000000
1615.0	177.1808679984570	5000.000000
1620.0	177.1799516498316	5000.000000
1625.0	177.1800917299705	5000.000000
1630.0	177.1801998302758	5000.000000
1635.0	177.1795133776696	5000.000000
1640.0	177.1785272294250	5000.000000
1645.0	177.1788706156364	5000.000000
1650.0	177.1781213282596	5000.000000
1655.0	177.1771509676391	5000.000000
1660.0	177.1774937287060	5000.000000
1665.0	177.1767311461004	5000.000000
1670.0	177.1758148557552	5000.000000
1675.0	177.1759549407595	5000.000000
1680.0	177.1760629811965	5000.000000
1685.0	177.1753767549393	5000.000000
1690.0	177.1743894967298	5000.000000
1695.0	177.1747367855611	5000.000000
1700.0	177.1739729894640	5000.000000
1705.0	177.1730570244583	5000.000000
1710.0	177.1731970223727	5000.000000
1715.0	177.1733050860406	5000.000000
1720.0	177.1726188538800	5000.000000
1725.0	177.1716315972241	5000.000000
1730.0	177.1719788852166	5000.000000
1735.0	177.1712150892900	5000.000000
1740.0	177.1702991244507	5000.000000
1745.0	177.1704391223662	5000.000000
1750.0	177.1705471860739	5000.000000
1755.0	177.1698609536276	5000.000000
1760.0	177.1688736972130	5000.000000
1765.0	177.1692209853585	5000.000000
1770.0	177.1684571901051	5000.000000
1775.0	177.1675412245751	5000.000000
1780.0	177.1676812223533	5000.000000
1785.0	177.1677892861101	5000.000000
1790.0	177.1671030533700	5000.000000
1795.0	177.1661157972197	5000.000000
1800.0	177.1664630853784	5000.000000
1805.0	177.1656992898933	5000.000000
1810.0	177.1647833244049	5000.000000
1815.0	177.1649233224734	5000.000000
1820.0	177.1650313856411	5000.000000
1825.0	177.1643451542996	5000.000000
1830.0	177.1633578929610	5000.000000
1835.0	177.1637052012728	5000.000000
1840.0	177.1629413304491	5000.000000
1845.0	177.1620256453001	5000.000000
1850.0	177.1621645981258	5000.000000
1855.0	177.1622765621857	5000.000000
1860.0	177.1615757736105	5000.000000
1865.0	177.1606428426551	5000.000000
1870.0	177.1607873845213	5000.000000
1875.0	177.1608942193610	5000.000000
1880.0	177.1602083664641	5000.000000
1885.0	177.1592210826660	5000.000000
1890.0	177.1595684125202	5000.000000
1895.0	177.1588044876146	5000.000000
1900.0	177.1578887353047	5000.000000
1905.0	177.1580276991318	5000.000000
1910.0	177.1581396681059	5000.000000
1915.0	177.1574388560307	5000.000000
1920.0	177.1565062746393	5000.000000
1925.0	177.1566497548708	5000.000000
1930.0	177.1567605058668	5000.000000
1935.0	177.1560600419530	5000.000000
1940.0	177.1551270241128	5000.000000
1945.0	177.1552715894549	5000.000000
1950.0	177.1553784180573	5000.000000
1955.0	177.1546925670659	5000.000000
1960.0	177.1537052824357	5000.000000
1965.0	177.1540526126323	5000.000000
1970.0	177.1532886872081	5000.000000
1975.0	177.1523729353372	5000.000000
1980.0	177.1525118990918	5000.000000
1985.0	177.1526238682846	5000.000000
1990.0	177.1519230564515	5000.000000
1995.0	177.1509904757617	5000.000000
2000.0	177.1511339506031	5000.000000
2005.0	177.1512447218510	5000.000000
2010.0	177.1505441820732	5000.000000
2015.0	177.1496114461667	5000.000000
2020.0	177.1497549608029	5000.000000
2025.0	177.1498657106112	5000.000000
2030.0	177.1491652253716	5000.000000
2035.0	177.1482325572609	5000.000000
2040.0	177.1483760555705	5000.000000
2045.0	177.1484868203953	5000.000000
2050.0	177.1477862821697	5000.000000
2055.0	177.1468535467203	5000.000000
2060.0	177.1469970583868	5000.000000
2065.0	177.1471078197219	5000.000000
2070.0	177.1464072830166	5000.000000
2075.0	177.1454745460034	5000.000000
2080.0	177.1456180608291	5000.000000
2085.0	177.1457288106697	5000.000000
2090.0	177.1450283252482	5000.000000
2095.0	177.1440956571577	5000.000000
2100.0	177.1442391555858	5000.000000
